city,region,dispatch_warehouse,delivery_method,normal_days,urgent_days,base_fee_min,base_fee_max,packaging_note
贵阳,贵州,贵阳仓,同城配送或客户自提,0-1天,当天-1天,80,180,重件需确认叉车或装卸条件
遵义,贵州,贵阳仓,贵州省内专线,1-2天,1天,120,260,液压件建议木箱或加固包装
六盘水,贵州,贵阳仓,贵州省内专线,1-2天,1天,150,320,重件需确认收货点是否可卸货
安顺,贵州,贵阳仓,贵州省内专线,1天,当天-1天,100,220,易磕碰件建议加固包装
毕节,贵州,贵阳仓,贵州省内专线,1-2天,1天,150,320,重件需确认装卸条件
铜仁,贵州,贵阳仓,贵州省内专线,2-3天,1-2天,180,380,偏远县区时效需人工确认
广州,广东,广州仓,城配或快运,0-1天,当天-1天,80,180,可按客户要求选择快运或自提
深圳,广东,广州仓,珠三角快运,1天,当天-1天,120,240,高价值件建议保价运输
长沙,湖南,长沙仓,省内专线或快运,0-1天,当天-1天,80,180,重件需确认收货点装卸条件
成都,四川,贵阳仓,西南专线,2-4天,1-2天,220,480,液压件建议木箱包装
重庆,重庆,贵阳仓,西南专线,2-3天,1-2天,200,420,重件需确认收货点装卸条件
昆明,云南,贵阳仓,西南专线,2-4天,1-2天,240,520,偏远县区需人工确认时效
